timestamp,serial_line
2026-05-16 15:42:08.965,ADC pin 15 raw = 2387  voltage = 1.924 V  angle = 190.1 deg
2026-05-16 15:42:08.975,ADC pin 15 raw = 2393  voltage = 1.928 V  angle = 190.7 deg
2026-05-16 15:42:08.985,ADC pin 15 raw = 2387  voltage = 1.924 V  angle = 190.1 deg
2026-05-16 15:42:08.995,ADC pin 15 raw = 2387  voltage = 1.924 V  angle = 190.1 deg
2026-05-16 15:42:09.005,ADC pin 15 raw = 2387  voltage = 1.924 V  angle = 190.1 deg
2026-05-16 15:42:09.015,ADC pin 15 raw = 2387  voltage = 1.924 V  angle = 190.1 deg
2026-05-16 15:42:09.025,ADC pin 15 raw = 2388  voltage = 1.924 V  angle = 190.2 deg
2026-05-16 15:42:09.035,ADC pin 15 raw = 2385  voltage = 1.922 V  angle = 189.9 deg
2026-05-16 15:42:09.045,ADC pin 15 raw = 2384  voltage = 1.921 V  angle = 189.8 deg
2026-05-16 15:42:09.055,ADC pin 15 raw = 2387  voltage = 1.924 V  angle = 190.1 deg
2026-05-16 15:42:09.065,ADC pin 15 raw = 2387  voltage = 1.924 V  angle = 190.1 deg
2026-05-16 15:42:09.075,ADC pin 15 raw = 2392  voltage = 1.928 V  angle = 190.6 deg
2026-05-16 15:42:09.085,ADC pin 15 raw = 2390  voltage = 1.926 V  angle = 190.4 deg
2026-05-16 15:42:09.095,ADC pin 15 raw = 2391  voltage = 1.927 V  angle = 190.5 deg
2026-05-16 15:42:09.105,ADC pin 15 raw = 2385  voltage = 1.922 V  angle = 189.9 deg
2026-05-16 15:42:09.115,ADC pin 15 raw = 2389  voltage = 1.925 V  angle = 190.3 deg
2026-05-16 15:42:09.125,ADC pin 15 raw = 2383  voltage = 1.920 V  angle = 189.7 deg
2026-05-16 15:42:09.135,ADC pin 15 raw = 2388  voltage = 1.924 V  angle = 190.2 deg
2026-05-16 15:42:09.145,ADC pin 15 raw = 2387  voltage = 1.924 V  angle = 190.1 deg
2026-05-16 15:42:09.155,ADC pin 15 raw = 2389  voltage = 1.925 V  angle = 190.3 deg
2026-05-16 15:42:09.165,ADC pin 15 raw = 2385  voltage = 1.922 V  angle = 189.9 deg
2026-05-16 15:42:09.176,ADC pin 15 raw = 2388  voltage = 1.924 V  angle = 190.2 deg
